yeast_gene,source,uniprot,note
Mud1,EM_structure,P32605,
Snp1,EM_structure,Q00916,
Yhc1,EM_structure,Q05900,
Prp39,EM_structure,P39682,
Prp42,EM_structure,Q03776,
Nam8,EM_structure,Q00539,
Snu56,EM_structure,Q03782,
Luc7,EM_structure,Q07508,
Snu71,EM_structure,P53207,
SmB,EM_structure,P40018,
SmD3,EM_structure,P43321,
SmD1,EM_structure,Q02260,
SmD2,EM_structure,Q06217,
SmE,EM_structure,Q12330,
SmF,EM_structure,P54999,
SmG,EM_structure,P40204,
Msl1,EM_structure,P40567,
Lea1,EM_structure,Q08963,
Hsh155,EM_structure,P49955,
Rse1,EM_structure,Q04693,
Cus1,EM_structure,Q02554,
Hsh49,EM_structure,Q99181,
Rds3,EM_structure,Q06835,
Ysf3,EM_structure,P0C074,
Prp9,EM_structure,P19736,
Prp11,EM_structure,Q07350,
pRP21,EM_structure,P32524,
LSm8,EM_structure,P47093,
LSm2,EM_structure,P38203,
LSm3,EM_structure,P57743,
LSm4,EM_structure,P40070,
LSm5,EM_structure,P40089,
LSm6,EM_structure,Q06406,
LSm7,EM_structure,P53905,
Prp8,EM_structure,P33334,
Brr2,EM_structure,P32639,
Snu114,EM_structure,P36048,
Dib1,EM_structure,Q06819,
Snu13,EM_structure,P39990,
Prp31,EM_structure,P49704,
Prp3,EM_structure,Q03338,
Prp4,EM_structure,P20053,
Snu17,EM_structure,P40565,
Bud13,EM_structure,P46947,
Pml1,EM_structure,Q07930,
Prp38,EM_structure,Q00723,
Spp381,EM_structure,P38282,
Clf1,EM_structure,Q12309,
Syf1,EM_structure,Q04048,
Cef1,EM_structure,Q03654,
Prp19,EM_structure,P32523,
Syf2,EM_structure,P53277,
Snt309,EM_structure,Q06091,
Isy1,EM_structure,P21374,
Bud31,EM_structure,P25337,
Cwc2,EM_structure,Q12046,
Cwc15,EM_structure,Q03772,
Ecm2,EM_structure,P38241,
Prp45,EM_structure,P28004,
Prp46,EM_structure,Q12417,
Cwc21,EM_structure,Q03375,
Cwc22,EM_structure,P53333,
Cwc23,EM_structure,P52868,
Cwc24,EM_structure,P53769,
Cwc27,EM_structure,Q02770,
Prp2,EM_structure,P20095,
Spp2,EM_structure,Q02521,
Yju2,EM_structure,P28320,
Prp17,EM_structure,P40968,
Prp22,EM_structure,P24384,
Prp18,EM_structure,P33411,
Slu7,EM_structure,Q02775,
Prp6,EM_structure,P19735,
Snu66,EM_structure,Q12420,
Snu23,EM_structure,Q12368,
Prp43,EM_structure,P53131,
Ntr1,EM_structure,Q06411,
Ntr2,EM_structure,P36118,
Prp5,addition,P21372,DEAH helicase; U2 snRNP recruitment / branchpoint proofreading
Sub2,addition,Q07478,DEHD helicase; U2 loading / mRNA export
Prp28,addition,P23394,DEAH helicase; U1/U2 switch (5'SS exchange)
Prp40,addition,P33203,FF-domain U1 snRNP factor; 5'SS-branchpoint bridge
Mud2,addition,P36084,yeast U2AF65 homolog (3'SS/polypyrimidine factor)
Msl5,addition,Q12186,yeast SF1/BBP branchpoint-binding protein
Cus2,addition,P53830,U2 snRNP assembly factor
Srp1,addition,Q02821,yeast SR-like protein (serine/arginine-rich)
Npl3,addition,Q01560,SR-like RNA-binding protein; splicing regulation
Gbp2,addition,P25555,SR-like protein; mRNA export/splicing
Hrb1,addition,P38922,SR-like RNA-binding protein
Hrp1,addition,Q99383,RNA-binding protein; 3' end processing/splicing
Sky1,addition,Q03656,yeast SRPK homolog (SR protein kinase)
Cwc25,addition,P53854,step II catalytic factor
DBR1,addition,P24309,lariat debranching enzyme (intron RNA metabolism)
