yeast_gene,n_short_present,n_longmed_present,present_both_short_clades,absent_both_short_clades,pattern
Brr2,7,8,1,0,other
Bud13,7,7,1,0,other
Bud31,7,7,1,0,other
Cef1,7,8,1,0,other
Clf1,1,3,0,1,candidate_absent_in_short
Cus1,5,4,0,0,other
Cus2,6,5,0,0,other
Cwc15,1,2,0,1,candidate_absent_in_short
Cwc2,4,5,0,1,candidate_absent_in_short
Cwc21,7,7,1,0,other
Cwc22,5,7,0,0,other
Cwc23,7,8,1,0,other
Cwc24,3,6,0,1,candidate_absent_in_short
Cwc25,5,0,0,0,other
Cwc27,6,6,0,0,other
DBR1,4,7,0,1,candidate_absent_in_short
Dib1,7,6,1,0,candidate_facilitator
Ecm2,6,8,0,0,other
Gbp2,5,6,0,0,other
Hrb1,6,6,0,0,other
Hrp1,7,8,1,0,other
Hsh155,7,8,1,0,other
Hsh49,6,6,0,0,other
Isy1,6,8,0,0,other
LSm2,7,8,1,0,other
LSm3,7,8,1,0,other
LSm4,7,8,1,0,other
LSm5,7,8,1,0,other
LSm6,7,8,1,0,other
LSm7,7,8,1,0,other
LSm8,7,8,1,0,other
Lea1,7,6,1,0,candidate_facilitator
Luc7,6,7,0,0,other
Msl1,7,8,1,0,other
Msl5,5,7,0,0,other
Mud1,6,7,0,0,other
Mud2,7,7,1,0,other
Nam8,6,7,0,0,other
Npl3,7,8,1,0,other
Ntr1,7,7,1,0,other
Ntr2,0,0,0,1,not_informative
Pml1,5,7,0,0,other
Prp11,5,6,0,0,other
Prp17,6,2,0,0,other
Prp18,7,6,1,0,candidate_facilitator
Prp19,6,7,0,0,other
Prp2,7,8,1,0,other
Prp22,7,8,1,0,other
Prp28,7,8,1,0,other
Prp3,7,7,1,0,other
Prp31,5,6,0,0,other
Prp38,7,8,1,0,other
Prp39,0,8,0,1,candidate_absent_in_short
Prp4,6,5,0,0,other
Prp40,5,7,0,0,other
Prp42,1,3,0,1,candidate_absent_in_short
Prp43,7,8,1,0,other
Prp45,5,5,0,0,other
Prp46,7,7,1,0,other
Prp5,7,8,1,0,other
Prp6,5,5,0,0,other
Prp8,5,8,0,1,candidate_absent_in_short
Prp9,7,5,1,0,candidate_facilitator
Rds3,7,4,1,0,candidate_facilitator
Rse1,6,6,0,0,other
Sky1,7,8,1,0,other
Slu7,6,7,0,0,other
SmB,7,7,1,0,other
SmD1,5,8,0,0,other
SmD2,7,8,1,0,other
SmD3,7,8,1,0,other
SmE,7,8,1,0,other
SmF,7,8,1,0,other
SmG,7,7,1,0,other
Snp1,6,5,0,0,other
Snt309,0,0,0,1,not_informative
Snu114,7,8,1,0,other
Snu13,7,8,1,0,other
Snu17,7,8,1,0,other
Snu23,6,3,0,0,other
Snu56,0,0,0,1,not_informative
Snu66,5,1,0,0,other
Snu71,0,0,0,1,not_informative
Spp2,7,6,1,0,candidate_facilitator
Spp381,0,0,0,1,not_informative
Srp1,7,7,1,0,other
Sub2,7,8,1,0,other
Syf1,6,5,0,0,other
Syf2,0,0,0,1,not_informative
Yhc1,7,6,1,0,candidate_facilitator
Yju2,5,5,0,0,other
Ysf3,7,5,1,0,candidate_facilitator
pRP21,7,8,1,0,other
