yeast_gene,species,evalue,pident,aln_len
Snp1,Pseudocohnilembus_persalinus,3.48e-19,46.1,102
Yju2,Pseudocohnilembus_persalinus,3.89e-21,42.0,119
Clf1,Moneuplotes_crassus,6.17e-59,32.2,721
Cus1,Moneuplotes_crassus,2.78e-39,39.2,232
Cus2,Moneuplotes_crassus,6.29e-14,39.8,123
Cwc2,Moneuplotes_crassus,9.35e-24,31.1,225
Cwc22,Moneuplotes_crassus,5.67e-45,27.0,488
Cwc27,Moneuplotes_crassus,4.6e-11,27.1,192
DBR1,Moneuplotes_crassus,1.01e-44,31.9,288
Dib1,Moneuplotes_crassus,1.96e-57,62.5,136
Gbp2,Moneuplotes_crassus,1.76e-14,26.8,168
Hrb1,Moneuplotes_crassus,4.06e-12,23.8,298
Hsh49,Moneuplotes_crassus,5.79e-38,34.8,198
Luc7,Moneuplotes_crassus,9.23e-16,30.5,197
Msl5,Moneuplotes_crassus,4.05e-15,37.3,118
Nam8,Moneuplotes_crassus,7.98e-17,38.6,114
Pml1,Moneuplotes_crassus,4.76e-15,33.5,176
Prp11,Moneuplotes_crassus,1.87e-11,27.4,259
Prp17,Moneuplotes_crassus,1.9e-11,23.9,188
Prp18,Moneuplotes_crassus,4.97e-16,34.6,127
Prp19,Moneuplotes_crassus,1.46e-17,29.9,147
Prp31,Moneuplotes_crassus,1.6e-13,25.3,229
Prp4,Moneuplotes_crassus,7.28e-11,22.1,281
Prp45,Moneuplotes_crassus,4.77e-13,28.0,282
Prp9,Moneuplotes_crassus,2.04e-35,27.1,573
Rds3,Moneuplotes_crassus,1.85e-26,42.9,105
Slu7,Moneuplotes_crassus,1.74e-12,27.8,309
SmB,Moneuplotes_crassus,9.07e-14,34.7,101
Syf1,Moneuplotes_crassus,2.04e-40,24.5,637
Clf1,Tetrahymena_utriculariae,4.45e-23,33.0,203
Cus1,Tetrahymena_utriculariae,1.71e-20,36.4,154
Dib1,Tetrahymena_utriculariae,9.52e-40,61.1,108
Prp17,Tetrahymena_utriculariae,1.14e-20,33.1,145
