yeast_gene,species,call,hit_id,evalue,pident,coverage,reciprocal_best_hit,tier,final_call
Mud1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snp1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Yhc1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp39,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp42,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Nam8,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snu56,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Luc7,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snu71,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
SmB,Pseudocohnilembus_persalinus,present,KRX07391.1,1.75e-11,41.8,0.464,True,RBH,present
SmD3,Pseudocohnilembus_persalinus,present,KRX04029.1,7e-24,45.7,0.802,True,RBH,present
SmD1,Pseudocohnilembus_persalinus,present,KRX04314.1,1.37e-17,39.3,0.836,True,RBH,present
SmD2,Pseudocohnilembus_persalinus,present,KRX00702.1,7.99e-25,52.8,0.809,True,RBH,present
SmE,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
SmF,Pseudocohnilembus_persalinus,present,KRW98267.1,1.01e-20,61.4,0.814,True,RBH,present
SmG,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Msl1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Lea1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Hsh155,Pseudocohnilembus_persalinus,present,KRX10526.1,2.59e-257,52.1,0.85,True,RBH,present
Rse1,Pseudocohnilembus_persalinus,present,KRX02255.1,8.62e-58,23.1,0.915,True,RBH,present
Cus1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Hsh49,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Rds3,Pseudocohnilembus_persalinus,present,KRX06383.1,3.03e-44,55.2,0.981,True,RBH,present
Ysf3,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp9,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp11,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
pRP21,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
LSm8,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
LSm2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
LSm3,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
LSm4,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
LSm5,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
LSm6,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
LSm7,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp8,Pseudocohnilembus_persalinus,present,KRX02196.1,0.0,60.9,0.945,True,RBH,present
Brr2,Pseudocohnilembus_persalinus,present,KRW98978.1,0.0,36.5,0.987,True,RBH,present
Snu114,Pseudocohnilembus_persalinus,weak_hit,KRX02179.1,9.3e-168,34.3,1.04,False,RBH,weak_hit
Dib1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snu13,Pseudocohnilembus_persalinus,present,KRX06253.1,2.65e-42,56.0,0.921,True,RBH,present
Prp31,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp3,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp4,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snu17,Pseudocohnilembus_persalinus,present,KRW99380.1,2.64e-30,50.9,0.77,True,RBH,present
Bud13,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Pml1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp38,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Spp381,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Clf1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Syf1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
