yeast_gene,Pseudocohnilembus_persalinus,Moneuplotes_crassus,Tetrahymena_utriculariae,Tetrahymena_malaccensis,Tetrahymena_thermophila,Oxytricha_trifallax,Ichthyophthirius_multifiliis,Stylonychia_lemnae,Paramecium_octaurelia,Paramecium_pentaurelia,Paramecium_primaurelia,Paramecium_sonneborni,Paramecium_tetraurelia,Blepharisma_stoltei,Stentor_coeruleus
Brr2,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Bud13,divergent_homolog,divergent_homolog,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Bud31,present,present,present,present,present,present,present_genomic,present,present,present,present,present,present,present,present
Cef1,present,present,divergent_homolog,present,present,present,present,present,present,present,present,present,present,present,present
Clf1,divergent_homolog,present_genomic,present_genomic,present_genomic,present_genomic,divergent_homolog,present,present_genomic,present_genomic,present_genomic,present_genomic,divergent_homolog,present_genomic,present_genomic,present_genomic
Cus1,divergent_homolog,present_genomic,present_genomic,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Cus2,divergent_homolog,present_genomic,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic
Cwc15,absent,absent,absent,divergent_homolog,divergent_homolog,absent,absent,absent,absent,absent,absent,absent,absent,divergent_homolog,absent
Cwc2,divergent_homolog,present_genomic,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present_genomic
Cwc21,present_orthogroup,present_orthogroup,absent,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
