species,intron_class,annotation_source,total_bp,contigs,gc_pct,n50,n_count,longest,n_genes,n_introns,intron_median,intron_mean,intron_p25,intron_p75,pct_introns_lt60,pct_introns_lt150,protein_source,n_proteins,mean_prot_len,busco_complete_pct,busco_single_pct,busco_dup_pct,busco_frag_pct,busco_missing_pct
Pseudocohnilembus_persalinus,long,NCBI GCA_001447515.1,55455357,288,18.81,367841,26482,1988609,13179,59748,114.0,205.3,81.0,197.0,4.4,65.3,native,13179,550.5,34.1,34.1,0.0,13.3,52.5
Moneuplotes_crassus,long,NCBI GCA_946863485.1,59699089,30392,36.96,2273,0,50899,29547,77499,27.0,78.7,25.0,64.0,73.6,88.1,native,29110,430.5,60.4,56.1,4.3,6.3,33.3
Tetrahymena_utriculariae,long,NCBI GCA_052426195.1 + MetaEuk(T. malaccensis ref),98028258,181,22.77,877412,0,4168386,11369,82958,88.0,184.7,51.0,152.0,30.8,74.3,native,11369,295.7,40.8,38.8,2.0,15.7,43.5
Tetrahymena_malaccensis,medium,TGD v1 (tet.ciliate.org),106671871,554,22.57,496146,2504422,2173071,25332,87171,84.0,232.2,58.0,223.0,30.7,65.3,native,26378,586.6,43.9,42.4,1.6,13.7,42.4
Tetrahymena_thermophila,medium,TGD v6 (tet.ciliate.org),103345795,181,22.3,929705,0,3329751,26687,94899,72.0,137.3,57.0,174.0,33.2,71.7,native,26687,672.8,43.5,41.6,2.0,14.5,42.0
Oxytricha_trifallax,medium,oxy.ciliate.org 2020 upd3,106241953,36749,31.75,3243,0,66022,45827,77444,72.0,93.2,41.0,115.0,43.7,83.9,native,45827,580.6,55.3,11.0,44.3,12.5,32.2
Ichthyophthirius_multifiliis,medium,NCBI GCF_000220395.1,48799969,2017,15.92,64045,85019,373042,8209,21395,64.0,151.9,50.0,131.5,45.3,78.1,native,8056,414.2,28.2,27.5,0.8,18.8,52.9
Stylonychia_lemnae,medium,StyloDB (stylo.ciliate.org),50256541,19851,31.71,3294,5823,65401,21061,32191,63.0,90.8,38.0,114.0,47.9,83.3,native,21061,578.3,55.7,54.1,1.6,14.5,29.8
Paramecium_octaurelia,short,NCBI GCA_905182995.1 (MAC),86439580,378,27.78,493211,2364712,997006,42611,101998,25.0,26.0,23.0,27.0,98.7,100.0,native,42611,444.1,42.7,25.1,17.6,16.1,41.2
Paramecium_pentaurelia,short,NCBI GCA_905183005.1 (MAC),87295513,310,23.18,515355,2027218,1263468,41578,106500,25.0,26.6,23.0,27.0,98.2,100.0,native,41578,471.4,35.7,18.0,17.6,18.8,45.5
Paramecium_primaurelia,short,NCBI GCA_905182975.1 (MAC),86329489,436,23.02,472600,3735877,1052540,38668,94889,25.0,26.3,23.0,27.0,98.7,100.0,native,38668,458.5,35.3,18.8,16.5,19.2,45.5
Paramecium_sonneborni,short,NCBI GCA_905182985.1 (MAC),98056381,572,23.02,500206,4230288,1141545,49755,114696,25.0,26.4,23.0,27.0,98.4,100.0,native,49755,437.1,36.9,19.6,17.3,15.3,47.8
Paramecium_tetraurelia,short,NCBI GCA_000165425.1 (MAC),72094543,697,28.05,413286,576361,981684,39642,90282,25.0,25.1,23.0,27.0,100.0,100.0,native,39642,453.4,42.0,25.1,16.9,16.5,41.6
Blepharisma_stoltei,short,"BlepharismaDB (bleph.ciliate.org, Singh 2023)",41464486,64,33.52,783600,0,1514878,25785,7083,15.0,15.2,15.0,15.0,100.0,100.0,native,25711,422.9,71.4,65.5,5.9,3.9,24.7
Stentor_coeruleus,short,NCBI GCA_001970955.1,77831160,2628,29.57,55105,6931,265894,31426,8061,15.0,15.1,15.0,15.0,100.0,100.0,native,31426,422.2,72.5,45.9,26.7,5.1,22.4
