species,family,rfam_acc,scaffold,start,end,strand,trunc,score,evalue,inc
Pseudocohnilembus_persalinus,U1,RF00003,LDAU01000225.1,84548,84710,+,no,66.3,6.6e-15,!
Pseudocohnilembus_persalinus,U1,RF00003,LDAU01000231.1,8022,8175,+,no,56.2,5.3e-12,!
Pseudocohnilembus_persalinus,U2,RF00004,LDAU01000025.1,320243,320432,+,no,159.5,6.8e-34,!
Pseudocohnilembus_persalinus,U4,RF00015,LDAU01000116.1,137572,137701,+,no,83.7,7.7e-18,!
Pseudocohnilembus_persalinus,U5,RF00020,LDAU01000019.1,256760,256645,-,no,73.5,3e-11,!
Pseudocohnilembus_persalinus,U6,RF00026,LDAU01000154.1,128393,128288,-,no,93.3,2.1e-23,!
Pseudocohnilembus_persalinus,U6,RF00026,LDAU01000218.1,1550,1445,-,no,93.3,2.1e-23,!
Moneuplotes_crassus,U1,RF00003,CAMPGE010029341.1,154,311,+,no,97.2,8.5e-24,!
Moneuplotes_crassus,U1,RF00003,CAMPGE010005967.1,154,311,+,no,96.3,1.5e-23,!
Moneuplotes_crassus,U2,RF00004,CAMPGE010007376.1,1111,919,-,no,148.0,4.1e-31,!
Moneuplotes_crassus,U2,RF00004,CAMPGE010026343.1,152,345,+,no,147.6,5.3e-31,!
Moneuplotes_crassus,U2,RF00004,CAMPGE010023901.1,589,398,-,no,143.4,5.3e-30,!
Moneuplotes_crassus,U2,RF00004,CAMPGE010023865.1,150,341,+,no,142.4,9e-30,!
Moneuplotes_crassus,U2,RF00004,CAMPGE010010717.1,993,810,-,no,110.0,5.3e-22,!
Moneuplotes_crassus,U4,RF00015,CAMPGE010014695.1,1137,1008,-,no,81.0,4.4e-17,!
Moneuplotes_crassus,U4,RF00015,CAMPGE010014727.1,1133,1005,-,no,80.3,6.9e-17,!
Moneuplotes_crassus,U4,RF00015,CAMPGE010011325.1,141,267,+,no,75.3,1.4e-15,!
Moneuplotes_crassus,U5,RF00020,CAMPGE010004490.1,80,190,+,no,80.5,8.3e-13,!
Moneuplotes_crassus,U6,RF00026,CAMPGE010027342.1,369,268,-,no,97.9,8.9e-25,!
Tetrahymena_utriculariae,U1,RF00003,CM126984.1,792103,791941,-,no,99.4,3.1e-24,!
Tetrahymena_utriculariae,U1,RF00003,CM126984.1,796124,795962,-,no,99.4,3.1e-24,!
Tetrahymena_utriculariae,U1,RF00003,CM126984.1,792701,792539,-,no,98.6,5.3e-24,!
Tetrahymena_utriculariae,U1,RF00003,CM126984.1,795045,794881,-,no,75.2,3.2e-17,!
Tetrahymena_utriculariae,U1,RF00003,CM126984.1,794414,794253,-,no,58.5,2.1e-12,!
Tetrahymena_utriculariae,U1,RF00003,CM126984.1,793663,793504,-,no,54.6,2.8e-11,!
Tetrahymena_utriculariae,U2,RF00004,CM126928.1,99222,99032,-,no,152.0,7.4e-32,!
Tetrahymena_utriculariae,U2,RF00004,CM126928.1,100157,99967,-,no,152.0,7.4e-32,!
Tetrahymena_utriculariae,U4,RF00015,CM126938.1,366549,366420,-,no,89.7,3.6e-19,!
